N,P,K,temperature,humidity,ph,rainfall,label
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut
69,32,82,26.65219044,84.48459801,6.33577362,130.93413533,coconut
80,27,47,30.76770386,42.81474951,7.36318807,74.68161786,jowar
76,64,67,20.98946875,80.45422482,5.65736261,205.45843245,turmeric
136,69,43,28.92726407,66.28760594,7.03738509,299.8111673,sugarcane
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
32,25,35,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
2,21,35,25.02887163,91.53720922,6.293662362999999,179.8248944,coconut
93,26,81,23.26117416,76.36538221,5.51327326,271.33868308,tea
60,17,36,34.35829538,30.84211939,8.37000478,72.22439598,bajra
107,30,49,27.61180309,81.66530162,4.83879852,166.92939494,tea
34,56,39,25.14958007,53.39393802,6.9208587,147.9932248,groundnut
115,44,62,28.71314053,75.83201016,6.9695129,332.1518422,coconut
89,25,34,23.07895447,63.65861483,7.184801627000001,129.8765443,coffee
110,58,99,24.79655099,92.39347065,6.99652606,198.23556361,banana
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
14,8,43,21.92513945,94.46485312,7.051654924,111.71620159999998,pomegranate
66,39,120,31.8665124,70.5414964,5.34229566,214.24709636,coconut
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
100,39,28,18.5267909,62.85802573,6.00400446,87.47502397,wheat
125,62,68,22.83317215,68.63059294,7.21051365,152.18297802,cotton
121,48,113,31.3443549,77.23348327,5.95867968,163.80011991,banana
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
107,25,50,26.17475102,77.36251806,5.36544884,188.51770781,tea
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
10,56,18,27.99627907,68.6428593,7.32710972,46.10585191,lentil
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans
63,28,44,22.62942652,82.10927367,6.30297304,144.10225044,coffee
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango
58,32,43,10.07423151,43.10475165,7.19538026,63.49732784,mustard
68,26,21,34.09391337,48.80029485,7.37230354,76.52285028,bajra
32,138,197,9.535585543,80.73112694,5.908724337000001,69.44115171,grapes
100,54,54,29.10537132,82.87653931,6.65641681,101.46485863,turmeric
148,52,42,31.43462691,70.65778368,7.08415792,264.3010944,sugarcane
65,20,39,26.7123856,44.57037712,7.18686621,116.22840249,jowar
89,23,76,20.7590378,70.82594894,4.93731236,241.10743934,tea
92,56,55,30.50420567,52.01973768,6.43264181,68.01918723,soybean
63,47,35,26.98582182,89.05587886,7.432768147000001,193.8778713,jute
101,33,33,26.97251562,62.0183627,6.908671378999999,142.8610793,coffee
62,32,85,27.17893544,71.96494475,6.32038547,209.51487359,tea
65,36,43,18.59376186,47.95094781,6.08161524,65.54864653,mustard
34,133,202,15.31413469,80.09711412,5.804799142,74.82144653,grapes
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
173,40,53,32.63192681,78.38793952,6.86250546,257.05478512,sugarcane
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
88,28,32,10.92037822,54.09898152,6.91197091,37.45066536,mustard
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans
22,38,31,31.53356352,53.06009323,5.8211060360000015,98.57025046,mango
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
74,42,68,23.18185458,79.07459131,4.53861024,222.20986284,tea
103,31,119,33.03887079,74.95872072,5.92733617,228.32980019,coconut
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
64,45,48,15.45600234,53.57311243,6.3640677,61.03087696,wheat
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice
1,76,19,24.18553163,46.68746847,6.6695294160000005,177.3377996,pigeonpeas
24,44,17,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
55,60,48,31.89334183,50.62750824,6.12221996,136.00380546,soybean
55,45,38,30.23029728,60.54865095,6.56217417,126.22663541,soybean
94,41,50,18.44113236,89.93935222,6.72670909,215.33053257,cardamom
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute
93,43,95,29.15899076,89.73287776,5.80983475,204.05702335,turmeric
115,48,43,28.32252506,87.46851624,6.91586769,219.134259,sugarcane
97,42,78,26.35936421,59.8942165,7.61954681,124.17844093,cotton
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
92,65,76,28.01673035,49.14193357,7.41580082,68.08296109,cotton
36,51,40,29.42994798,49.75423896,6.36792952,136.99875337,groundnut
111,34,107,25.81649113,84.20003509,6.23567524,173.61720672,coconut
50,31,25,34.41721345,27.75844081,6.65232025,95.631054,bajra
87,29,51,17.3514841,88.01833633,6.50600143,232.56962485,cardamom
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon
10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,apple
48,46,44,14.09505464,47.65911934,7.33157371,67.49814656,mustard
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes
64,56,30,21.58292838,54.16777341,6.45776987,52.59116856,wheat
14,139,197,21.72484506,92.83975602,6.056529526,121.6961761,apple
70,38,38,24.84528147,61.84489767,6.78066098,170.96849902,soybean
60,47,36,34.31547352,59.72143158,7.18797745,105.70011628,jowar
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
23,75,17,24.87425505,64.00213929,7.198076286,48.28137482,lentil
55,27,42,12.6907308,53.46873471,7.848263,42.70867589,mustard
8,16,6,12.22816189,90.26457428,7.106650373,108.4161706,orange
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange
66,29,36,24.58096464,37.00417567,7.76679834,68.00958277,jowar
121,40,68,29.26936965,83.65803046,7.63527909,239.14851664,sugarcane
97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana
79,41,40,14.28981399,40.78528103,7.67725149,27.89119029,mustard
